id;свод;название;город;страна;наш статус;год имени;год снятия;исходное описание из материалов;статус верен? (да/нет);верный статус;годы верны? (да/нет);комментарий
world-германия-музей-ви-ленина-в-заснице;проверка годов;Музей В.И. Ленина в Заснице;Засниц;Германия;носит имя;1977;;Открыт в октябре 1977 г. в железнодорожном вагоне образца 1916 г. В подобном вагоне В.И. Ленин с группой политэмигрантов в марте 1917 г. переехал через территорию Германии, возвращаясь из Швейцарии в Россию. После объединения Германии музей закрылся. Сегодня в городе остался лишь исторический памятный знак (на возвышении у городского порта), а сам «пломбированный вагон» перевезли в Потсдам;;;;
ussr-россия-военный-дважды-краснознамённ;проверка годов;Военный дважды Краснознамённый институт физической культуры и спорта имени В. И. Ленина;Санкт-Петербург;Россия;носит имя;1909;;Основан 1 (14) октября 1909 года. С 1947 года носит имя В. И. Ленина.;;;;
ussr-украина-станция-метро-ленинская-теат;проверка годов;Станция метро «Ленинская» → «Театральная»;Киев;Украина;переименован;1987;;Открыта 6 ноября 1987 года под названием «Ленинская». Со 2 февраля 1993 года – «Театральная».;;;;
ussr-казахстан-ленинское-ныне-жамбыл;проверка годов;Ленинское (ныне Жамбыл);Темирский район, Актюбинская область;Казахстан;переименован;;2010;Переименовано в 2010.;;;;
ussr-россия-челябинский-тракторный-завод;проверка годов;Челябинский тракторный завод имени И. В. Сталина → Кировский завод → Челябинский тракторный завод имени В. И. Ленина (1971–1992) → ООО «Челябинский тракторный завод – УРАЛТРАК»;Челябинск;Россия;переименован;1971;1992;До 6 октября 1941 – им. Сталина, до 20 июня 1958 – Кировский завод, с 10 ноября 1971 по 1 октября 1992 – производственное объединение «Челябинский тракторный завод имени В. И. Ленина». Ныне – ООО «ЧТЗ-УРАЛТРАК», производит дизельные двигатели для бронетанковой техники.;;;;
ussr-казахстан-кудайберген-пернебаев-бывш-л;проверка годов;Кудайберген Пернебаев (бывш. Ленинжолы);Мактааральский район, Туркестанская область;Казахстан;переименован;;1999;Село, переименовано в 1999.;;;;
world-германия-улица-цеппелинов-бывш-аллея-;проверка годов;Улица Цеппелинов (бывш. аллея Ленина);Потсдам;Германия;переименован;;1992;В 1950 г. улица была переименована в Leninallee, в 1992 г. ей возвращено историческое название Zeppelinstraße;;;;
ussr-россия-казанский-государственный-ун;проверка годов;Казанский государственный университет имени В. И. Ульянова-Ленина → Казанский (Приволжский) федеральный университет;Казань, Республика Татарстан;Россия;переименован;1924;2009;С 1924 по 2009 год носил имя Ленина, ныне – Казанский федеральный университет.;;;;
ussr-литва-площадь-ленина-lenino-aikšte;проверка годов;Площадь Ленина (Lenino aikšte) – ныне площадь Лукишкю;Вильнюс;Литва;переименован;1952;1991;Бывшее название (1952–1991). В 1952 году установлен памятник Ленину (скульптор Н. Томский). После восстановления независимости переименована.;;;;
world-финляндия-квартира-музей-ви-ленина-в-х;проверка годов;Квартира-музей В.И. Ленина в Хельсинки;Хельсинки;Финляндия;носит имя;1976;;Открыта 7 декабря 1976 г. в бвышей квартире Г. Ровио – активного участника рабочего движения Финляндии, где в августе-сентябре 1917 года в период последнего подполья нелегально жил В.И. Ленин;;;;
ussr-таджикистан-ленинабад-19361991-худжанд;проверка годов;Ленинабад (1936–1991) → Худжанд;Согдийская область;Таджикистан;переименован;1936;1991;Город на севере Таджикистана, административный центр Согдийской области. В 1936–1991 годах назывался Ленинабад.;;;;
ussr-россия-мариинская-водная-система-18;проверка годов;Мариинская водная система (1810–1963) → Волго-Балтийский водный путь имени В. И. Ленина (1964–1992) → Волго-Балтийский водный путь;Северо-запад России;Россия;переименован;1964;1992;Система каналов, рек и озёр, соединяющая бассейны Каспийского и Балтийского морей. В 1964–1992 годах носила имя Ленина.;;;;
ussr-украина-площадь-ленина-засульская-пл;проверка годов;Площадь Ленина → Засульская площадь;Ромны, Сумская область;Украина;переименован;;1991;До 1991 года – площадь Ленина, затем переименована.;;;;
ussr-латвия-проспект-ленина-ļeņina-prosp;проверка годов;Проспект Ленина (Ļeņina prospekts) – ныне Большая улица (Lielā iela);Елгава;Латвия;переименован;1960;1990;Проспект Ленина (1960–1990), затем переименован в Большую улицу.;;;;
ussr-россия-ленинградское-высшее-военно-;проверка годов;Ленинградское высшее военно-морское инженерное училище имени В. И. Ленина;Санкт-Петербург;Россия;носит имя;1948;;Основано 8 апреля 1948 года, позже объединено с другими училищами.;;;;
ussr-казахстан-айтей-бывш-ленино;проверка годов;Айтей (бывш. Ленино);Аккулинский район, Павлодарская область;Казахстан;переименован;;2005;Село, переименовано в 2005.;;;;
ussr-казахстан-ильич;проверка годов;Ильич;Тайыншинский район, Северо-Казахстанская область;Казахстан;носит имя;1954;;Село, основано в 1954 году в ходе освоения целины, входит в Кировский сельский округ.;;;;
ussr-украина-второй-театр-усср-имени-ви-л;проверка годов;Второй театр УССР имени В.И. Ленина → Национальный академический драматический театр имени Леси Украинки;Киев;Украина;переименован;1919;;Театр в здании бывшего театра Бергонье. 15 марта 1919 года национализирован и получил имя Ленина. Позже переименован в честь Леси Украинки.;;;;
ussr-россия-московский-государственный-п;проверка годов;Московский государственный педагогический институт имени В. И. Ленина → Московский педагогический государственный университет;Москва;Россия;переименован;1941;1997;В 1941–1997 годах носил имя Ленина, ныне – Московский педагогический государственный университет.;;;;
ussr-россия-синбирск-симбирск-ульяновск;проверка годов;Синбирск / Симбирск → Ульяновск;Ульяновск;Россия;переименован;1924;;Город, административный центр Ульяновской области. В 1648–1780 – Синбирск, в 1780–1924 – Симбирск, затем переименован в Ульяновск. С 2015 – единственный город литературы ЮНЕСКО в России.;;;;
ussr-беларусь-ильич-посёлок;проверка годов;Ильич (посёлок);Рогачёвский район, Гомельская область;Беларусь;переименован;1924;;Посёлок городского типа в Звонецком сельсовете. Основан в 1924 году на бывших помещичьих землях. В 1930 году жители вступили в колхоз.;;;;
ussr-казахстан-мамбет-бывш-ленино;проверка годов;Мамбет (бывш. Ленино);Коксуский район, Жетысуская область;Казахстан;переименован;;1990;Село, переименовано в 1990-х, центр Лабасинского сельского округа.;;;;
